19:54:35:333 [ALWAYS]	GUDE Logging Started
19:54:35:334 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:54:35:334 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:54:35:334 [ERROR]	Initialize resume cache pointer failure
19:54:35:334 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:54:35:334 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:54:36:956 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:54:36:956 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:54:36:956 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:54:36:956 [ERROR]	Initialize resume cache pointer failure
19:54:36:956 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:54:36:956 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:54:36:958 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
